"","Fecha","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","ï..SOILTYPE","PRODLEVL","it"
"1","1956-1",53.6391967,236.47687,23.6931770965457,31.8960383012891,15.7911308668554,33.1835545268841,-99,1058,13,0,1,1,6
"2","1956-10",198.3495,874.459,21.0540444017388,30.6679496672004,15.6871280055493,37.1366691896692,-99,315,8,0,1,1,6
"3","1956-11",208.0619,917.278,22.0250564422458,33.1036316566169,17.0107354228385,39.7356905103661,-99,175,12,0,1,1,6
"4","1956-12",216.4208,954.13,22.2683505876921,34.484013531357,14.7337683551013,30.785341670271,-99,328,27,0,1,1,6
"5","1956-2",194.465,857.333,22.1619774401188,34.5244763456285,16.4461843976751,34.8712434098125,-99,507,4,0,1,1,6
"6","1956-3",188.5387,831.205,22.6931601450779,35.8861075043678,17.2400566926226,31.6179952430539,-99,356,18,0,1,1,6
"7","1956-4",175.902,775.498,19.5684658726677,30.395996036008,16.5494338558055,38.0258347224444,-99,1005,18,0,1,1,6
"8","1956-5",195.7609,863.047,24.4352032118477,33.1306888591498,14.6227412074804,40.3747248481959,-99,204,7,0,1,1,6
"9","1956-6",192.7208,849.644,22.9077681684867,31.6791612561792,14.657372132875,31.3628086536191,-99,286,11,0,1,1,6
"10","1956-7",190.2905,838.929,20.1296308059245,31.5434339288622,19.6872769524343,38.8939765901305,-99,825,7,0,1,1,6
"11","1956-8",211.0982,930.665,23.0566574330442,35.6613394021988,17.4138656598516,33.7056966940872,-99,1019,15,0,1,1,6
"12","1956-9",189.2201,834.211,21.270690986421,29.6334508676082,16.8162788287736,38.5831683659926,-99,167,19,0,1,1,6
"13","1957-1",211.0987,930.663,23.8832153212279,34.1311296764761,18.4963542898186,30.0708902967162,-99,1345,23,0,1,1,6
"14","1957-10",214.9464,947.629,21.9593530851416,28.5120119079947,18.982208349742,36.4900036561303,-99,232,13,0,1,1,6
"15","1957-11",205.041,903.959,19.6692139445804,31.1745894942433,14.690006589517,40.4641655576415,-99,73,17,0,1,1,6
"16","1957-12",206.5878,910.778,19.9379911907017,28.8668715581298,16.4544092365541,29.3793725906871,-99,819,14,0,1,1,6
"17","1957-2",197.0949,868.926,23.0233707148582,34.0938948486,18.200381798204,29.7143769757822,-99,7,9,0,1,1,6
"18","1957-3",204.5759,901.907,21.0125530464575,28.9229349922389,16.777393611148,35.467201186344,-99,780,13,0,1,1,6
"19","1957-4",204.5099,901.618,19.3138516205363,34.043036011979,15.6475789537653,36.0387064418755,-99,757,2,0,1,1,6
"20","1957-5",222.6417,981.555,24.9533488610759,29.9845043662935,17.3199049890973,30.6298907417804,-99,42,28,0,1,1,6
"21","1957-6",202.0023,890.563,21.921543599572,30.2975831516087,18.0407862463035,29.4840476489626,-99,471,2,0,1,1,6
"22","1957-7",225.1127,992.449,24.0334295886569,35.8515052553266,15.3814389421605,35.3838603640907,-99,1093,28,0,1,1,6
"23","1957-8",211.7975,933.746,20.3456504787318,30.0818696133792,15.0538400602527,40.1832561567426,-99,950,26,0,1,1,6
