"","Anio","Mes","granos","pods","Temperatura_minima","Temperatura_maxima","Irradiacion","Presion_de_vapor","windspeed","Precipitacion","Dias_con_lluvia","id","SOILTYPE","PRODLEVL","it","periodo","pods_ajustados"
"13","1957","01",207.0433,912.786,22.6194443744607,28.1873423922807,14.3553867125884,34.6060746205039,-99,1246,1,0,1,1,1,1,898.726458137946
"14","1957","10",220.4445,971.868,24.7320360443555,31.2263256683946,19.7139047095552,41.088830195833,-99,804,11,0,1,1,1,10,927.407824857423
"15","1957","11",200.6976,884.811,21.3549628169276,28.9964652676135,17.6499350504018,35.9991716402583,-99,415,28,0,1,1,1,11,838.180774919271
"16","1957","12",213.7399,942.311,20.6109111867845,31.3079757038504,15.8253352176398,31.5342273605056,-99,289,30,0,1,1,1,12,893.60731832756
"17","1957","02",182.7136,805.527,22.4047202183865,29.6845732368529,17.2455208762549,29.3442538790405,-99,50,12,0,1,1,1,2,785.64380521793
"18","1957","03",201.5001,888.347,23.9203168754466,28.5427401084453,18.6516611347906,31.5139130428433,-99,620,16,0,1,1,1,3,863.99515916378
"19","1957","04",207.2001,913.479,20.5094276657328,30.8754437938333,17.5213271053508,30.2609440451488,-99,665,10,0,1,1,1,4,885.359916275891
"20","1957","05",215.8948,951.808,22.0329641839489,32.8058533836156,19.0969963120297,35.1220692251809,-99,0,0,0,1,1,1,5,920.369908663942
"21","1957","06",225.482,994.08,24.2052286202088,35.1152652259916,17.4149116179906,33.0328113762662,-99,155,25,0,1,1,1,6,959.641296420667
"22","1957","07",210.8665,929.643,24.7490894328803,29.6614408195019,18.0385552491061,42.4050122271292,-99,1149,7,0,1,1,1,7,892.444948685502
"23","1957","08",212.1779,935.427,22.2741862013936,28.6227128971368,14.6118520353921,38.1577429901809,-99,368,7,0,1,1,1,8,895.660610435861
"24","1957","09",217.8678,960.507,19.8374844952486,34.3825828898698,14.3505701790564,30.4991842894815,-99,275,21,0,1,1,1,9,918.328374413837
"25","1958","01",226.3633,997.964,22.4332409850322,31.5532188285142,19.0142377084121,31.8139406633563,-99,912,20,0,1,1,1,13,947.27160090683
"26","1958","10",221.4328,976.225,24.4125476037152,31.0108235478401,17.2621943634003,31.6055837753229,-99,343,8,0,1,1,1,22,910.279903274323
"27","1958","11",219.2316,966.52,22.3135972674936,30.5391321983188,17.4163820245303,38.1692163073458,-99,1363,24,0,1,1,1,23,899.092805934624
"28","1958","12",218.886,964.996,20.3493171869777,28.4541144836694,19.8002748112194,32.9749440038577,-99,552,27,0,1,1,1,24,896.118592841334
"29","1958","02",203.5162,897.236,24.4728625607677,28.6756092812866,15.8405520278029,29.0550590585917,-99,353,24,0,1,1,1,14,844.630011337187
"30","1958","03",228.7606,1008.53,24.605752220843,35.0417446698993,17.245925385505,30.9926650538109,-99,219,11,0,1,1,1,15,954.077628512957
"31","1958","04",213.3158,940.442,24.2829165076837,29.9754248652607,17.784422618337,42.7093613822944,-99,829,13,0,1,1,1,16,884.203832551782
"32","1958","05",238.5531,1051.705,24.6741685960442,32.5931858755648,16.0784545587376,40.8354834713973,-99,1305,29,0,1,1,1,17,993.736023854956
