"","Fecha","Irradiacion","Temperatura_minima","Temperatura_maxima","Presion_de_vapor","Precipitacion","Dias_con_lluvia"
"1","2000-01",18.74664,21.2096774193548,30.7387096774194,33.3865973541717,35.6,5
"2","2000-02",17.0694,21.3241379310345,31.3103448275862,34.2777994022756,229.3,9
"3","2000-03",15.75324,21.8806451612903,31.2258064516129,35.1206309104676,186,9
"4","2000-04",15.86376,21.46,30.1033333333333,32.6013521771793,497.3,22
"5","2000-05",15.91956,20.8290322580645,29.6193548387097,31.9139362327902,841.2,24
"6","2000-06",15.27336,20.7133333333333,29,31.2177606586724,375.8,21
"7","2000-07",15.68916,20.2967741935484,29.1322580645161,30.6056076184513,309.5,19
"8","2000-08",16.50672,20.4387096774194,29.8903225806452,32.1007511610851,193.5,13
"9","2000-09",18.95292,20.54,30.3533333333333,32.3659541483706,282.8,16
"10","2000-10",18.37224,21.0032258064516,31.0354838709677,33.4675197099174,529,18
"11","2000-11",17.34228,21.0566666666667,30.7966666666667,32.5820273744134,487,15
"12","2000-12",17.73,20.5483870967742,30.3322580645161,32.2592160896377,265.3,8
"13","2001-01",18.74664,19.8032258064516,32.4387096774194,34.9883056278343,59,2
"14","2001-02",17.0694,21.325,32.2964285714286,35.8258355465234,29,3
"15","2001-03",15.75324,21.9709677419355,31.8838709677419,35.3239627018947,250,13
"16","2001-04",15.86376,21.1033333333333,30.8233333333333,33.605512113957,453,16
"17","2001-05",15.91956,21.1483870967742,30.2032258064516,32.6034052164222,847,24
"18","2001-06",15.27336,20.34,28.3133333333333,29.8258467561215,601,23
"19","2001-07",15.68916,20.5451612903226,29.3709677419355,31.3328836123651,380,19
"20","2001-08",16.50672,NA,NA,NA,286,17
"21","2001-09",18.95292,NA,NA,NA,612,15
"22","2001-10",18.37224,21.0870967741935,31.2483870967742,33.6717060179584,494,17
"23","2001-11",17.34228,21.3033333333333,31.7966666666667,34.6735557163046,333,16
"24","2001-12",17.73,21.7935483870968,30.641935483871,33.0814324585658,381,18
"25","2002-01",18.74664,20.2258064516129,31.7258064516129,33.5702569546563,6,2
"26","2002-02",17.0694,22.2321428571429,33.8428571428571,38.1989610122316,54,2
"27","2002-03",15.75324,22.2709677419355,32.5741935483871,35.7703550020408,533,14
